datetime,total_number,day_type,ticket_type,service,ticket_group,Month_Year,Year-Month,Year,As Quarter,Fiscal Year
7/1/2002 10:00,1666,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-07,2002,2003Q1,2003
8/1/2002 10:00,1699,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-08,2002,2003Q1,2003
9/1/2002 10:00,1566,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-09,2002,2003Q1,2003
10/1/2002 10:00,2351,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-10,2002,2003Q2,2003
11/1/2002 10:00,1566,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-11,2002,2003Q2,2003
12/1/2002 10:00,1545,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2002-12,2002,2003Q2,2003
1/1/2003 10:00,2045,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-01,2003,2003Q3,2003
2/1/2003 10:00,2876,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-02,2003,2003Q3,2003
3/1/2003 10:00,1757,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-03,2003,2003Q3,2003
4/1/2003 10:00,2067,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-04,2003,2003Q4,2003
5/1/2003 10:00,1806,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-05,2003,2003Q4,2003
6/1/2003 10:00,1946,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-06,2003,2003Q4,2003
7/1/2003 10:00,1635,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-07,2003,2004Q1,2004
8/1/2003 10:00,1457,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-08,2003,2004Q1,2004
9/1/2003 10:00,1650,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-09,2003,2004Q1,2004
10/1/2003 10:00,1797,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-10,2003,2004Q2,2004
11/1/2003 10:00,1684,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-11,2003,2004Q2,2004
12/1/2003 10:00,1444,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2003-12,2003,2004Q2,2004
1/1/2004 10:00,1486,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-01,2004,2004Q3,2004
2/1/2004 10:00,1597,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-02,2004,2004Q3,2004
3/1/2004 10:00,1962,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-03,2004,2004Q3,2004
4/1/2004 10:00,1940,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-04,2004,2004Q4,2004
5/1/2004 10:00,1705,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-05,2004,2004Q4,2004
6/1/2004 10:00,1582,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-06,2004,2004Q4,2004
7/1/2004 10:00,1488,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-07,2004,2005Q1,2005
8/1/2004 10:00,1348,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-08,2004,2005Q1,2005
9/1/2004 10:00,1571,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-09,2004,2005Q1,2005
10/1/2004 10:00,1904,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-10,2004,2005Q2,2005
11/1/2004 10:00,1518,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-11,2004,2005Q2,2005
12/1/2004 10:00,1209,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2004-12,2004,2005Q2,2005
1/1/2005 10:00,1395,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-01,2005,2005Q3,2005
2/1/2005 10:00,1047,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-02,2005,2005Q3,2005
3/1/2005 10:00,1503,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-03,2005,2005Q3,2005
4/1/2005 10:00,1575,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-04,2005,2005Q4,2005
5/1/2005 10:00,1363,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-05,2005,2005Q4,2005
6/1/2005 10:00,1589,Weekday,Ticketed,Loop Original,Anonymous Ticket,,2005-06,2005,2005Q4,2005
