datetime,total_number,day_type,ticket_type,service,Month_Year,Year,As Quarter,Fiscal Year
2007-11-01 10:00:00,1524,Weekday,Ticketed,Loop Original,2007-11,2007,2008Q2,2008
2007-12-01 10:00:00,1365,Weekday,Ticketed,Loop Original,2007-12,2007,2008Q2,2008
2008-01-01 10:00:00,1700,Weekday,Ticketed,Loop Original,2008-01,2008,2008Q3,2008
2008-02-01 10:00:00,1840,Weekday,Ticketed,Loop Original,2008-02,2008,2008Q3,2008
2008-03-01 10:00:00,1614,Weekday,Ticketed,Loop Original,2008-03,2008,2008Q3,2008
2008-04-01 10:00:00,2008,Weekday,Ticketed,Loop Original,2008-04,2008,2008Q4,2008
2008-05-01 10:00:00,1778,Weekday,Ticketed,Loop Original,2008-05,2008,2008Q4,2008
2008-06-01 10:00:00,1445,Weekday,Ticketed,Loop Original,2008-06,2008,2008Q4,2008
2008-07-01 10:00:00,1927,Weekday,Ticketed,Loop Original,2008-07,2008,2009Q1,2009
2008-08-01 10:00:00,1883,Weekday,Ticketed,Loop Original,2008-08,2008,2009Q1,2009
2008-09-01 10:00:00,2189,Weekday,Ticketed,Loop Original,2008-09,2008,2009Q1,2009
2008-10-01 10:00:00,2587,Weekday,Ticketed,Loop Original,2008-10,2008,2009Q2,2009
2008-11-01 10:00:00,318,Weekday,Ticketed,Loop Original,2008-11,2008,2009Q2,2009
2008-12-01 10:00:00,1434,Weekday,Ticketed,Loop Original,2008-12,2008,2009Q2,2009
2009-01-01 10:00:00,938,Weekday,Ticketed,Loop Original,2009-01,2009,2009Q3,2009
2009-02-01 10:00:00,1162,Weekday,Ticketed,Loop Original,2009-02,2009,2009Q3,2009
2009-03-01 10:00:00,940,Weekday,Ticketed,Loop Original,2009-03,2009,2009Q3,2009
2009-04-01 10:00:00,1110,Weekday,Ticketed,Loop Original,2009-04,2009,2009Q4,2009
2009-05-01 10:00:00,918,Weekday,Ticketed,Loop Original,2009-05,2009,2009Q4,2009
2009-06-01 10:00:00,1436,Weekday,Ticketed,Loop Original,2009-06,2009,2009Q4,2009
2009-07-01 10:00:00,1983,Weekday,Ticketed,Loop Original,2009-07,2009,2010Q1,2010
2009-08-01 10:00:00,1810,Weekday,Ticketed,Loop Original,2009-08,2009,2010Q1,2010
2009-09-01 10:00:00,1855,Weekday,Ticketed,Loop Original,2009-09,2009,2010Q1,2010
2009-10-01 10:00:00,1832,Weekday,Ticketed,Loop Original,2009-10,2009,2010Q2,2010
